-92, 79, 1027
-96, 71, 1004
-104, 75, 980
-105, 34, 951
-107, 47, 938
-107, 47, 938
-106, 51, 959
-118, 66, 1018
-119, 41, 1005
-109, 9, 955
-109, 9, 955
-106, 3, 931
-118, 11, 979
-130, -13, 1052
-,-,-
80, -65, 1000
102, -82, 1108
102, -82, 1108
138, -62, 1100
153, -32, 1010
168, 4, 1031
177, 3, 1065
174, 28, 1021
174, 28, 1021
182, 24, 999
201, 10, 1008
184, -18, 973
135, 33, 886
135, 33, 886
96, 57, 901
96, 32, 1009
92, 22, 997
92, 22, 997
22, 35, 998
-16, 17, 1044
-36, -27, 1083
-36, -27, 1083
-20, 5, 1039
-8, 43, 980
-6, 80, 998
-2, 54, 1030
-2, 54, 1030
3, 87, 979
6, 68, 972
6, 68, 972
-21, -3, 1019
-53, -66, 991
-77, -120, 962
-95, -117, 941
-95, -117, 941
-115, -91, 976
-142, -96, 1027
-141, -18, 1004
-156, 36, 977
-170, -7, 1030
-182, -37, 1057
-182, -64, 1031
-184, -48, 1014
-184, -48, 1014
-196, -9, 1037
-198, -12, 1055
-190, -23, 1020
-192, -52, 1016
-185, -28, 1004
-184, 3, 985
-165, 25, 971
-148, 1, 991
-,-,-
8, -46, 988
28, -114, 1020
55, -63, 1095
84, -50, 1080
129, -65, 992
129, -65, 992
177, -68, 916
206, -51, 1000
220, -37, 1046
223, -13, 1001
227, 7, 946
227, 7, 946
220, 26, 959
176, 27, 965
122, 36, 943
122, 36, 943
78, 24, 961
62, 28, 1029
52, 0, 1048
52, 0, 1048
19, -11, 1048
-57, -90, 976
-31, -29, 1024
-36, -48, 1078
-48, -29, 1080
-48, -29, 1080
-61, -38, 1061
-76, -43, 979
-64, -35, 960
-51, -20, 1000
-48, 29, 1013
-48, 29, 1013
-49, 49, 1052
-33, 23, 1028
-32, 28, 1000
-39, 19, 987
-47, 46, 977
-47, 46, 977
-56, 53, 1008
-68, 31, 1030
-73, -2, 1022
-84, -32, 1014
-84, -32, 1014
-98, -42, 1027
-109, -14, 1015
-117, -16, 1029
-123, -44, 1043
-129, -70, 988
-142, -39, 981
-159, -66, 999
-155, -53, 984
-155, -53, 984
-154, -41, 994
-,-,-
113, 51, 968
151, 20, 971
151, 20, 971
177, -28, 1019
205, -42, 1045
256, -49, 994
325, -52, 1034
368, -40, 1053
